Content,TB_Polarity,TB_Subjectivity,TB_Sentiment,NLTK_Sentiment,Final_Sentiment
i have done data science course with henry harvin it was great with wonderful trainers it was great learning,0.866666667,0.833333333,Positive,Positive,Positive
henry harvin education turn out very good suggestion from my friend best trainer really helpful,0.703333333,0.426666667,Positive,Positive,Positive
a great learning experience with henry harvin education,0.8,0.75,Positive,Positive,Positive
i am right now pursuing content writing course from henry harvin education and i'd say that it's great centre for learning this the trainers are very updated with the latest information on this particular field the methodology used by them easy to grasp even for person who comes from non technical background so if you are looking for course in content writing henry harvin would be great option they are very responsive supportive up to date and very well set agenda of each class and overall the course had dream of becoming content writer and think have chosen the right path for making it come true,0.344761905,0.542539683,Positive,Positive,Positive
i found it very useful now am very much confident that post doing few more practice and research can land myself in the job of my dreams even am willing to start my own blog because now am pretty much skilled to increase the traffic on my website the another good aspect of this course is the that they provide digital liary lms the course content here is well structured and we can even get all the recorded session at one place if anybody looking forward to increase their interpersonal and professional skills then would like to recommend this course to them moreover the cherry on the cake is the hh consultants these people are so cooperative and they are so concerned about their and and they do all the promises they make to their students grom sending jobs to internship opportunities they always stand apart thank you guys may god bless you all,0.326363636,0.489393939,Positive,Positive,Positive
i attended rohit's six sigma green belt program in delhi really loved the way he made us imagine every step and learn,0.25,0.55,Positive,Positive,Positive
i attended the content writing course in delhi and had great experience with their trainer tulika,0.8,0.75,Positive,Positive,Positive
it's crap course don't fall for their fake and false high promises the whole course is time and money wastage wasted my precious time and money they didn't give any internship or placement as they promise,-0.148571429,0.62,Negative,Negative,Negative
if you guys are planning to take the online content writing course please don't they will only be in touch with you while enrollment after the course they will just treat you like nobody specially for online students they will not provide you with you certificate even after month and in between if you loose job opportunity or two it's no big deal feel bad for the trainer who was very good and had put out all her knowledge for the students but the unprofessional attitude of the henry harwin's staff will get on your nerves gradually and also if you know the founder only then can you get job placement from them otherwise they will keep sending you the same mail over and over again the contacts in it never reply wasted my time and money with them you make sure you don't,0.079021978,0.54012149,Positive,Negative,Negative
honest words go for it if want to enhance your knowledge and skills,0.6,0.9,Positive,Positive,Positive
i did this course from aoad the henry harvin course is really good and loved it,0.7,0.7,Positive,Positive,Positive
it was nice learning experience the six sigma course is highly appreciated and recommended for those who need deeper knowledge on various aspects,0.266666667,0.533333333,Positive,Positive,Positive
there is some helpful information here but it is poorly written and full of errors both the questions and the answers had tons of mistakes furthermore when finished the course electronically received mock certificate that didn't have my name on it used the identification number to validate the certificate through tefl org and it was invalid,-0.025,0.575,Negative,Negative,Negative
the course by definition does work but is is marred by numerous typos errors and bad ux on their page on top of this this lessons are skewed by pro western statements as if the guy is trying to push small minded propaganda through his classes you see biblical references yet you get good deal of his opinion on spanking etc the desperate guy should keep to teaching the lesson period when you have syntax typos for lesson on grammar and punctuation you know your time isn't being spent properly ty ignorant and so confident american why take lessons on international affairs from someone who will never truly experience the world because it's always through his forced and skewed western perspective just ugly definitely not recommended,-0.061764706,0.382352941,Negative,Neutral,Negative
poor quality trainers that whats they make you pay first,-0.075,0.466666667,Negative,Negative,Negative
i paid for the course but the teaching pedagogy was so bad that didn't even attend the complete course and asked for refund of course they never paid me back they changed the instructor on the last minute and the environment is not conducive to learning they said you don't need computer to learn analytics just watch the instructor doing it on screen and you will learn it you end up sitting with other students and instructors who are incompetent and feel like you got cheated don't go for it rather go for some nano degree online,-0.179166667,0.3125,Negative,Negative,Negative
i had an online course with henry harvin education and my experiences with it are phenomenon before joining this course was clueless about how to start my writing career though was very passionate about it but now am on the right track this is just because of henry harvin education thank you so much hhe for filling me up with dreams and motivations showing the right path thanks to everyone in the institute who helped me out will always recommend this institute to everyone,0.181285714,0.494285714,Positive,Positive,Positive
hi my name is anil kumar have attended the course of content writing course from henry harvin by neha singhal mam the course of this module was excellent and by attending this came to know all details of how to write an excellent content whether it may be for business content academics content or digital content came to know about google analytics alexa web ranking canva software etc which is of great importance recommend this course to all entrepreneurs and content writers,0.7,0.6875,Positive,Positive,Positive
financial course amazing at henry harvin and is very much recommended,0.286666667,0.386666667,Positive,Positive,Positive
the amazing experience here was worth doing and achieving something,0.45,0.5,Positive,Positive,Positive
the six sigma green belt course is great and faculty there is good and learned with experience,0.433333333,0.55,Positive,Positive,Positive
six sigma green belt course is amazing and worth doing with great learning experience,0.375,0.5125,Positive,Positive,Positive
six sigma green belt certification course is very very good and is very must try,0.303333333,0.46,Positive,Positive,Positive
it was an awesome robotic process automation course delivered by an extraordinary real time trainer yes truly admire it and the knowledge approach and ideas excellent rpa certification course the best online course have attended by far the course was exactly what was hoping for,0.472916667,0.63125,Positive,Positive,Positive
six sigma green belt course was great learning experience for me recommended,0.3,0.525,Positive,Positive,Positive
the finance course and management courses both are just recommended superbly,1,1,Positive,Positive,Positive
six sigma green belt course is amazing and knowledgeable and learning great experience,0.4,0.65,Positive,Positive,Positive
the business analytics course at henry harvin was content blessed and did right doing it,0.285714286,0.535714286,Positive,Positive,Positive
amazing course to learn and had great experience,0.7,0.825,Positive,Positive,Positive
it was an awesome robotic process automation course delivered by an extraordinary real time trainer yes truly admire it and the knowledge approach and ideas excellent rpa certification course the best online course have attended by far the course was exactly what was hoping for,0.472916667,0.63125,Positive,Positive,Positive
six sigma green belt course at henry harvin is just incomparable and is worth doing,0.166666667,0.333333333,Positive,Neutral,Neutral
six sigma green belt course taught deep knowledge regarding basic concepts and faculty is amazing,0.1,0.43125,Positive,Positive,Positive
it's very good and innovative platform for consumers like us,0.705,0.89,Positive,Positive,Positive
six sigma green belt certification course is good recommended,0.25,0.45,Positive,Positive,Positive
it was an awesome robotic process automation course delivered by an extraordinary real time trainer yes truly admire it and the knowledge approach and ideas excellent rpa certification course the best online course have attended by far the course was exactly what was hoping for,0.472916667,0.63125,Positive,Positive,Positive
the management analytics course at henry harvin is must try,0,0,Neutral,Neutral,Neutral
six sigma green belt course taught how to deal with different business situation it is awesome,0.266666667,0.633333333,Positive,Positive,Positive
the six sigma green belt course at henry harvin education should be done by everyone and is really knowledgeable,0,0.25,Neutral,Positive,Positive
the teaching faculty is amazing and concepts are explained with basic understanding and clearly,0.233333333,0.469444444,Positive,Positive,Positive
the six sigma green belt course from here is worth doing lot amazing experience,0.233333333,0.433333333,Positive,Positive,Positive
the courses offered at henry harvin are amazing and of varied knowledge they are blend of various types of concepts,0.3,0.7,Positive,Positive,Positive
management analytics course at henry harvin education is good and must do one,0.7,0.6,Positive,Positive,Positive
the financial analytics course at henry harvin offered learning in its different unique way,0.125,0.533333333,Positive,Neutral,Neutral
the finance based course at henry harvin and six sigma course along with other courses all are very useful,0.1325,0.1875,Positive,Positive,Positive
the management analytics course at henry harvin is really good and the way concepts were explained is good,0.7,0.6,Positive,Positive,Positive
financial analytics course is amazing the way each concept is explained is really nice,0.4,0.633333333,Positive,Positive,Positive
six sigma green belt course offers wide learning experience and the faculty is very experienced,0.2,0.425,Positive,Neutral,Neutral
the six sigma green belt certification and online course was great experience for me and was fun learning,0.3,0.416666667,Positive,Positive,Positive
the six sigma green belt certification course is really good,0.25,0.45,Positive,Positive,Positive
six sigma green belt course did from henry harvin was full of gainable knowledge,0.075,0.425,Positive,Neutral,Neutral
the online courses are very good and the faculty gives time for doubts and the course is knowledgable,0.91,0.78,Positive,Neutral,Neutral
learning is different at henry harvin the way concepts are explained is great and remarkable,0.516666667,0.7,Positive,Positive,Positive
learning was amazing and taught me great efforts studies and was superb,0.8,0.883333333,Positive,Positive,Positive
the financial analytics course superb with good knowledgeable faculty,0.566666667,0.533333333,Positive,Positive,Positive
six sigma green belt course is amazing and the faculty is great,0.4,0.65,Positive,Positive,Positive
six sigma green belt certification course is very good effective and efficient great learning experience,0.5275,0.6575,Positive,Positive,Positive
the six sigma green belt course was amazing and the faculty and doubt team was very helpful,0.2,0.5,Positive,Positive,Positive
henry harvin gives great insight to knowledge and wisdom to various amazing courses,0.466666667,0.716666667,Positive,Positive,Positive
the marketing analytics course at henry harvin with experienced faculty and learned objectives is amazing and knowledgeable,0.7,0.9,Positive,Positive,Positive
marketing analysis course with henry is really amazing,0.6,0.9,Positive,Positive,Positive
best coaching place ever got,1,0.3,Positive,Positive,Positive
business analytics course from henry gives you great insight to management and leadership enhancement,0.8,0.75,Positive,Positive,Positive
henry harvin education has got the best list of courses with wonderful faculty,1,0.65,Positive,Positive,Positive
better you proceed here for your ight future krishna home tutor gives you the best knowledge which makes you professional,0.4,0.25625,Positive,Positive,Positive
lean six sigma course by this organisation is marvelous,1,1,Positive,Positive,Positive
six sigma course is wonderful course highly recommended so do check it out to avail benefits,0.58,0.77,Positive,Positive,Positive
business analytics course from henry gives you great insight to management and leadership enhancement,0.8,0.75,Positive,Positive,Positive
it was an awesome robotic process automation course delivered by an extraordinary real time trainer yes truly admire it and the knowledge approach and ideas excellent rpa certification course the best online course have attended by far the course was exactly what was hoping for,0.472916667,0.63125,Positive,Positive,Positive
lean six sigma course is perfect course highly recommended,0.58,0.77,Positive,Positive,Positive
henry harvin has got the best faculty under one roof,1,0.3,Positive,Positive,Positive
business analytics course with henty was one of my best experience highly recommended,0.58,0.42,Positive,Positive,Positive
marketing analysis course with henry was great step got to learn so much about this highly recommended,0.386666667,0.496666667,Positive,Positive,Positive
henry harvin education has the best variety of courses,1,0.3,Positive,Positive,Positive
business analytics course from henry gives you great insight to management and leadership enhancement,0.8,0.75,Positive,Positive,Positive
henry harvin has got the perfect list courses with them,1,1,Positive,Positive,Positive
it was an awesome robotic process automation course delivered by an extraordinary real time trainer yes truly admire it and the knowledge approach and ideas excellent rpa certification course the best online course have attended by far the course was exactly what was hoping for,0.472916667,0.63125,Positive,Positive,Positive
henry harvin has got the perfect list courses with them,1,1,Positive,Positive,Positive
henry harvin has really wonderful faculty got the best experience out there highly recommendable,0.72,0.613333333,Positive,Positive,Positive
henry harvin has the best faculty education here is really helpful,0.6,0.25,Positive,Positive,Positive
the six sigma green belt course was one such in which basic management details were explained,-0.066666667,0.308333333,Negative,Neutral,Negative
henry harvin has got the best marketing analysis course out there,1,0.3,Positive,Positive,Positive
marketing analysis course is the best course from henry they provide you with the best teaching experience,1,0.3,Positive,Positive,Positive
lean six sigma course is really effective with them got to learn so much from the faculty,0.4,0.5,Positive,Positive,Positive
marketing analysis course is the best course from henry,1,0.3,Positive,Positive,Positive
marketing analysis course is the best educational course from henry best faculty under one roof,0.75,0.283333333,Positive,Positive,Positive
lean six sigma course is really effective with them,0.6,0.8,Positive,Positive,Positive
lean six sigma course is really effective with them,0.6,0.8,Positive,Positive,Positive
henry harvin has one of the best faculty and teaching experience got to evolve so much from it's marketing analysis course,0.6,0.25,Positive,Positive,Positive
business analytics course was fabulous got to learn so much things from the faculty,0.3,0.6,Positive,Positive,Positive
the six sigma green belt course was one such in which basic management details were explained,-0.066666667,0.308333333,Negative,Neutral,Negative
it was an awesome robotic process automation course delivered by an extraordinary real time trainer yes truly admire it and the knowledge approach and ideas excellent rpa certification course the best online course have attended by far the course was exactly what was hoping for,0.472916667,0.63125,Positive,Positive,Positive
business analytics course of harvin is amazing best faculty under one roof,0.8,0.6,Positive,Positive,Positive
marketing analysis course is the best course from henry,1,0.3,Positive,Positive,Positive
henry harvin has the best teaching experience,1,0.3,Positive,Positive,Positive
business analyticsin love with amazing content under business analytics,0.55,0.75,Positive,Positive,Positive
lean sigma course with henry is great course faculty is really amazing,0.7,0.825,Positive,Positive,Positive
henry harvin's business analytics course is amazing best faculty under one roof,0.8,0.6,Positive,Positive,Positive
marketing analysis course is the best educational course from henry,0.625,0.275,Positive,Positive,Positive
henry harvin has the best teaching experience and faculty,1,0.3,Positive,Positive,Positive
henry harvin is an amazing coaching place got to learn so much they have the best faculty under one roof,0.6,0.466666667,Positive,Positive,Positive
henry harvin has one of the best faculty and teaching experience got to evolve so much from it's marketing analysis course,0.6,0.25,Positive,Positive,Positive
i attended program on six sigma black belt training conducted by henry harvin and was very much satisfied by the training and the service provided by the company,0.166666667,0.716666667,Positive,Positive,Positive
business analytics course with them is really wonderful get to learn so well the faculty here is so experienced highly recommendable,0.653333333,0.813333333,Positive,Positive,Positive
marketing analytics course is so amazing it helps you getting real practical knowledge,0.4,0.6,Positive,Positive,Positive
lean six sigma course is really effective with them,0.6,0.8,Positive,Positive,Positive
business analytics course was fabulous got to learn so much things from the faculty,0.3,0.6,Positive,Positive,Positive
marketing analytics course from this organization is just wonderful got to learn so much,0.6,0.6,Positive,Positive,Positive
six sigma green belt course is very helpful it's must done course from henry harvin education,0,0.3,Neutral,Positive,Positive
henry harvin rocks the team is amazing best faculty thumbs up to business analytics,0.8,0.6,Positive,Positive,Positive
average course structure was ok nothing unique or special,0.270535714,0.617857143,Positive,Neutral,Neutral
the six sigma green belt course was one such in which basic management details were explained,-0.066666667,0.308333333,Negative,Neutral,Negative
it was average did the management's analytics course but didnt find it useful it was good but to certain extents,0.266071429,0.392857143,Positive,Positive,Positive
thier attitude chnages once you pay the fees and they dont refund or deliver as promised,0,0,Neutral,Positive,Positive
henry harvin offers courses business analytics and marketing analytics separately enrolled for henry harvin marketing analytics in june however reaching for first class learned that the course was business analytics and not marketing analytics on asking the trainer who was taking classes for the first time and it was evident that he didn't have any teaching experience he told me to talk to henry harvin rep present there the rep told me that there is hardly any difference between the courses and since students were less this is the course we are offering now they said they are not sure when and where proper marketing analytics course will happen my choice is either to wait for future course if it ever happens or take business analytics course left the course on the first day and asked for refund no refund was given got conned for my hard earned money apart from this major each of trust here are some more pointers other students were th pass with no prior experience there were no charging points or wifi in the room when asked for charging point and wi fi the trainer said that laptop is not required for the course we can just watch him do analytics on screen the trainer had zero marketing experience how can one teach marketing analytics without knowing marketing they often change the trainers at the last moment was shown the profile of ph trainer with good experience before the course upon entering the classroom was told that the trainer couldn't get here due to last minute family problem no email communication for the same was provided not sure about their other courses but kindly save yourself frustration and money and don't ever enroll for their marketing analytics or even business analytics course reply to comment my name and email had been shared with akhil thakur nishant sidana and kounal gupta from your org with emails exchanged with them but to no avail trust pilot does not allow to share emails and numbers here but you can search with the name of mandeep sidana am sure lot of people ask for refund and it must be difficult for you to keep track of complaints and yes see lot of fake reviews posted as well posted by your people about how good the course is,0.053017241,0.406034483,Positive,Positive,Positive
worked there as an intern for month pros nice work life balance and awesome people always ready to help cons none doing great job senior management is very easy to approach you can go anytime to discuss new ideas with the management always open to suggestions,0.471385281,0.743506494,Positive,Positive,Positive
i really loved henry harvin's content writing course beautiful professionally delivered awesome value derived,0.6625,0.725,Positive,Positive,Positive
these guys are very unprofessional don't have value for others time the trainer is not bothered to start the class at all the content of bitcoin is very poor simply waste of money so plz don't enroll in their courses,-0.173333333,0.36,Negative,Negative,Negative
i attended program on six sigma black belt training conducted by henry harvin and was very much satisfied by the training and the service provided by the company strongly recommend that if anyone is looking for six sigma black belt training certification one should always go with henry harvin education,0.15,0.65,Positive,Positive,Positive
i attended program on six sigma black belt training conducted by henry harvin and was very much satisfied by the training and the service provided by the company strongly recommend that if anyone is looking for six sigma black belt training certification one should always go with henry harvin education,0.15,0.65,Positive,Positive,Positive
